Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
InStore,C,12434,540,283,1092,3,2233
InStore,C,15177,2024,3810,2665,232,610
Online,C,5531,15726,26870,2367,13726,446
Online,C,5224,7603,8584,2540,3674,238
Online,C,15615,12653,19858,4425,7108,2379
Online,C,4822,6721,9170,993,4973,3637
InStore,C,2926,3195,3268,405,1680,693
InStore,C,5809,735,803,1393,79,429
InStore,C,5414,717,2155,2399,69,750
Online,C,260,8675,13430,1116,7015,323
Online,C,200,25862,19816,651,8773,6250
InStore,C,955,5479,6536,333,2840,707
Online,C,514,7677,19805,937,9836,716
InStore,C,286,1208,5241,2515,153,1442
Online,C,2343,7845,11874,52,4196,1697
InStore,C,45640,6958,6536,7368,1532,230
InStore,C,12759,7330,4533,1752,20,2631
InStore,C,11002,7075,4945,1152,120,395
InStore,C,3157,4888,2500,4477,273,2165
InStore,C,12356,6036,8887,402,1382,2794
InStore,C,112151,29627,18148,16745,4948,8550
InStore,C,694,8533,10518,443,6907,156
InStore,C,36847,43950,20170,36534,239,47943
InStore,C,327,918,4710,74,334,11
InStore,C,8170,6448,1139,2181,58,247
InStore,C,3009,521,854,3470,949,727
InStore,C,2438,8002,9819,6269,3459,3
Online,C,8040,7639,11687,2758,6839,404
Online,C,834,11577,11522,275,4027,1856
InStore,C,16936,6250,1981,7332,118,64
InStore,C,13624,295,1381,890,43,84
InStore,C,5509,1461,2251,547,187,409
Online,C,180,3485,20292,959,5618,666
InStore,C,7107,1012,2974,806,355,1142
InStore,C,17023,5139,5230,7888,330,1755
InStore,A,30624,7209,4897,18711,763,2876
Online,A,2427,7097,10391,1127,4314,1468
InStore,A,11686,2154,6824,3527,592,697
InStore,A,9670,2280,2112,520,402,347
Online,A,3067,13240,23127,3941,9959,731
Online,A,4484,14399,24708,3549,14235,1681
InStore,A,25203,11487,9490,5065,284,6854
InStore,A,583,685,2216,469,954,18
InStore,A,1956,891,5226,1383,5,1328
Online,A,1107,11711,23596,955,9265,710
InStore,A,6373,780,950,878,288,285
Online,A,2541,4737,6089,2946,5316,120
InStore,A,1537,3748,5838,1859,3381,806
Online,A,5550,12729,16767,864,12420,797
InStore,A,18567,1895,1393,1801,244,2100
Online,A,12119,28326,39694,4736,19410,2870
InStore,A,7291,1012,2062,1291,240,1775
InStore,A,3317,6602,6861,1329,3961,1215
Online,A,2362,6551,11364,913,5957,791
InStore,A,2806,10765,15538,1374,5828,2388
Online,A,2532,16599,36486,179,13308,674
InStore,A,18044,1475,2046,2532,130,1158
Online,A,18,7504,15205,1285,4797,6372
InStore,A,4155,367,1390,2306,86,130
InStore,A,14755,899,1382,1765,56,749
InStore,A,5396,7503,10646,91,4167,239
InStore,A,5041,1115,2856,7496,256,375
Online,A,2790,2527,5265,5612,788,1360
InStore,A,7274,659,1499,784,70,659
InStore,A,12680,3243,4157,660,761,786
Online,A,20782,5921,9212,1759,2568,1553
InStore,A,4042,2204,1563,2286,263,689
InStore,A,1869,577,572,950,4762,203
InStore,A,8656,2746,2501,6845,694,980
Online,A,11072,5989,5615,8321,955,2137
InStore,A,2344,10678,3828,1439,1566,490
InStore,A,25962,1780,3838,638,284,834
InStore,A,964,4984,3316,937,409,7
InStore,A,15603,2703,3833,4260,325,2563
InStore,A,1838,6380,2824,1218,1216,295
InStore,A,8635,820,3047,2312,415,225
InStore,A,18692,3838,593,4634,28,1215
InStore,A,7363,475,585,1112,72,216
InStore,A,47493,2567,3779,5243,828,2253
InStore,A,22096,3575,7041,11422,343,2564
InStore,A,24929,1801,2475,2216,412,1047
InStore,A,18226,659,2914,3752,586,578
InStore,A,11210,3576,5119,561,1682,2398
InStore,A,6202,7775,10817,1183,3143,1970
Online,A,3062,6154,13916,230,8933,2784
InStore,A,8885,2428,1777,1777,430,610
InStore,A,13569,346,489,2077,44,659
InStore,A,15671,5279,2406,559,562,572
InStore,A,8040,3795,2070,6340,918,291
InStore,A,3191,1993,1799,1730,234,710
Online,A,6134,23133,33586,6746,18594,5121
InStore,A,6623,1860,4740,7683,205,1693
InStore,A,29526,7961,16966,432,363,1391
InStore,A,10379,17972,4748,4686,1547,3265
InStore,A,31614,489,1495,3242,111,615
InStore,A,11092,5008,5249,453,392,373
InStore,A,8475,1931,1883,5004,3593,987
InStore,A,56083,4563,2124,6422,730,3321
InStore,A,53205,4959,7336,3012,967,818
InStore,A,9193,4885,2157,327,780,548
InStore,A,7858,1110,1094,6818,49,287
InStore,A,23257,1372,1677,982,429,655
InStore,A,2153,1115,6684,4324,2894,411
Online,A,1073,9679,15445,61,5980,1265
InStore,A,5909,23527,13699,10155,830,3636
Online,A,572,9763,22182,2221,4882,2563
InStore,A,20893,1222,2576,3975,737,3628
Online,A,11908,8053,19847,1069,6374,698
InStore,A,15218,258,1138,2516,333,204
InStore,A,4720,1032,975,5500,197,56
InStore,A,2083,5007,1563,1120,147,1550
InStore,A,514,8323,6869,529,93,1040
InStore,C,36817,3045,1493,4802,210,1824
InStore,C,894,1703,1841,744,759,1153
InStore,C,680,1610,223,862,96,379
InStore,C,27901,3749,6964,4479,603,2503
InStore,C,9061,829,683,16919,621,139
InStore,C,11693,2317,2543,5845,274,1409
Online,C,17360,6200,9694,1293,3620,1721
InStore,C,3366,2884,2431,977,167,1104
Online,C,12238,7108,6235,1093,2328,2079
InStore,C,49063,3965,4252,5970,1041,1404
InStore,C,25767,3613,2013,10303,314,1384
InStore,C,68951,4411,12609,8692,751,2406
InStore,C,40254,640,3600,1042,436,18
InStore,C,7149,2247,1242,1619,1226,128
InStore,C,15354,2102,2828,8366,386,1027
InStore,C,16260,594,1296,848,445,258
InStore,C,42786,286,471,1388,32,22
InStore,C,2708,2160,2642,502,965,1522
InStore,C,6022,3354,3261,2507,212,686
InStore,C,2838,3086,4329,3838,825,1060
Online,B,3996,11103,12469,902,5952,741
InStore,B,21273,2013,6550,909,811,1854
Online,B,7588,1897,5234,417,2208,254
InStore,B,19087,1304,3643,3045,710,898
Online,B,8090,3199,6986,1455,3712,531
Online,B,6758,4560,9965,934,4538,1037
InStore,B,444,879,2060,264,290,259
Online,B,16448,6243,6360,824,2662,2005
Online,B,5283,13316,20399,1809,8752,172
Online,B,2886,5302,9785,364,6236,555
Online,B,2599,3688,13829,492,10069,59
Online,B,161,7460,24773,617,11783,2410
Online,B,243,12939,8852,799,3909,211
Online,B,6468,12867,21570,1840,7558,1543
InStore,B,17327,2374,2842,1149,351,925
InStore,B,6987,1020,3007,416,257,656
Online,B,918,20655,13567,1465,6846,806
InStore,B,7034,1492,2405,12569,299,1117
InStore,B,29635,2335,8280,3046,371,117
Online,B,2137,3737,19172,1274,17120,142
InStore,B,9784,925,2405,4447,183,297
InStore,B,10617,1795,7647,1483,857,1233
Online,B,1479,14982,11924,662,3891,3508
InStore,B,7127,1375,2201,2679,83,1059
InStore,B,1182,3088,6114,978,821,1637
InStore,B,11800,2713,3558,2121,706,51
Online,B,9759,25071,17645,1128,12408,1625
InStore,B,1774,3696,2280,514,275,834
InStore,B,9155,1897,5167,2714,228,1113
InStore,B,15881,713,3315,3703,1470,229
InStore,B,13360,944,11593,915,1679,573
InStore,B,25977,3587,2464,2369,140,1092
InStore,B,32717,16784,13626,60869,1272,5609
InStore,B,4414,1610,1431,3498,387,834
InStore,B,542,899,1664,414,88,522
InStore,B,16933,2209,3389,7849,210,1534
InStore,B,5113,1486,4583,5127,492,739
InStore,B,9790,1786,5109,3570,182,1043
Online,B,11223,14881,26839,1234,9606,1102
InStore,B,22321,3216,1447,2208,178,2602
Online,B,8565,4980,67298,131,38102,1215
Online,B,16823,928,2743,11559,332,3486
Online,B,27082,6817,10790,1365,4111,2139
InStore,B,13970,1511,1330,650,146,778
InStore,B,9351,1347,2611,8170,442,868
InStore,B,3,333,7021,15601,15,550
InStore,B,2617,1188,5332,9584,573,1942
Online,C,381,4025,9670,388,7271,1371
Online,C,2320,5763,11238,767,5162,2158
InStore,C,255,5758,5923,349,4595,1328
Online,C,1689,6964,26316,1456,15469,37
InStore,C,3043,1172,1763,2234,217,379
InStore,C,1198,2602,8335,402,3843,303
Online,C,2771,6939,15541,2693,6600,1115
Online,C,27380,7184,12311,2809,4621,1022
InStore,C,3428,2380,2028,1341,1184,665
Online,C,5981,14641,20521,2005,12218,445
InStore,C,3521,1099,1997,1796,173,995
Online,C,1210,10044,22294,1741,12638,3137
InStore,C,608,1106,1533,830,90,195
Online,C,117,6264,21203,228,8682,1111
InStore,C,14039,7393,2548,6386,1333,2341
InStore,C,190,727,2012,245,184,127
InStore,C,22686,134,218,3157,9,548
Online,C,37,1275,22272,137,6747,110
InStore,C,759,18664,1660,6114,536,4100
InStore,C,796,5878,2109,340,232,776
InStore,C,19746,2872,2006,2601,468,503
InStore,C,4734,607,864,1206,159,405
InStore,C,2121,1601,2453,560,179,712
InStore,C,4627,997,4438,191,1335,314
InStore,C,2615,873,1524,1103,514,468
Online,C,4692,6128,8025,1619,4515,3105
InStore,C,9561,2217,1664,1173,222,447
InStore,C,3477,894,534,1457,252,342
InStore,C,22335,1196,2406,2046,101,558
InStore,C,6211,337,683,1089,41,296
Online,C,39679,3944,4955,1364,523,2235
InStore,C,20105,1887,1939,8164,716,790
InStore,C,3884,3801,1641,876,397,4829
Online,C,15076,6257,7398,1504,1916,3113
InStore,C,6338,2256,1668,1492,311,686
InStore,C,5841,1450,1162,597,476,70
Online,C,3136,8630,13586,5641,4666,1426
InStore,C,38793,3154,2648,1034,96,1242
InStore,C,3225,3294,1902,282,68,1114
Online,C,4048,5164,10391,130,813,179
InStore,C,28257,944,2146,3881,600,270
InStore,C,17770,4591,1617,9927,246,532
InStore,C,34454,7435,8469,2540,1711,2893
InStore,C,1821,1364,3450,4006,397,361
InStore,C,10683,21858,15400,3635,282,5120
InStore,C,11635,922,1614,2583,192,1068
InStore,C,1206,3620,2857,1945,353,967
InStore,C,20918,1916,1573,1960,231,961
InStore,C,9785,848,1172,1677,200,406
InStore,C,9385,1530,1422,3019,227,684
InStore,C,3352,1181,1328,5502,311,1000
InStore,C,2647,2761,2313,907,95,1827
InStore,C,518,4180,3600,659,122,654
InStore,C,23632,6730,3842,8620,385,819
InStore,C,12377,865,3204,1398,149,452
InStore,C,9602,1316,1263,2921,841,290
Online,C,4515,11991,9345,2644,3378,2213
InStore,C,11535,1666,1428,6838,64,743
InStore,C,11442,1032,582,5390,74,247
InStore,C,9612,577,935,1601,469,375
InStore,C,4446,906,1238,3576,153,1014
InStore,C,27167,2801,2128,13223,92,1902
InStore,C,26539,4753,5091,220,10,340
InStore,C,25606,11006,4604,127,632,288
InStore,C,18073,4613,3444,4324,914,715
InStore,C,6884,1046,1167,2069,593,378
InStore,C,25066,5010,5026,9806,1092,960
Online,C,7362,12844,18683,2854,7883,553
Online,C,8257,3880,6407,1646,2730,344
InStore,C,8708,3634,6100,2349,2123,5137
InStore,C,6633,2096,4563,1389,1860,1892
InStore,C,2126,3289,3281,1535,235,4365
InStore,C,97,3605,12400,98,2970,62
InStore,C,4983,4859,6633,17866,912,2435
InStore,C,5969,1990,3417,5679,1135,290
Online,C,7842,6046,8552,1691,3540,1874
Online,C,4389,10940,10908,848,6728,993
InStore,C,5065,5499,11055,364,3485,1063
Online,C,660,8494,18622,133,6740,776
InStore,C,8861,3783,2223,633,1580,1521
InStore,C,4456,5266,13227,25,6818,1393
Online,C,17063,4847,9053,1031,3415,1784
InStore,C,26400,1377,4172,830,948,1218
Online,C,17565,3686,4657,1059,1803,668
Online,C,16980,2884,12232,874,3213,249
InStore,C,11243,2408,2593,15348,108,1886
InStore,C,13134,9347,14316,3141,5079,1894
InStore,C,31012,16687,5429,15082,439,1163
InStore,C,3047,5970,4910,2198,850,317
InStore,C,8607,1750,3580,47,84,2501
InStore,C,3097,4230,16483,575,241,2080
InStore,C,8533,5506,5160,13486,1377,1498
InStore,C,21117,1162,4754,269,1328,395
InStore,C,1982,3218,1493,1541,356,1449
InStore,C,16731,3922,7994,688,2371,838
InStore,C,29703,12051,16027,13135,182,2204
InStore,C,39228,1431,764,4510,93,2346
Online,C,14531,15488,30243,437,14841,1867
InStore,C,10290,1981,2232,1038,168,2125
InStore,C,2787,1698,2510,65,477,52
